FTHG,FTAG,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,FTR,goal_diff,home_shot_acc,away_shot_acc,corner_diff,foul_diff
5,0,19,9,6,1,6,4,12,4,0,0,0,0,H,5,0.3,0.1,2,8
0,1,15,23,8,7,4,2,8,14,1,2,0,0,A,-1,0.5,0.2916666666666667,2,-6
1,0,17,21,6,5,14,9,10,9,2,3,0,0,H,1,0.3333333333333333,0.22727272727272727,5,1
2,3,10,15,5,6,5,9,12,12,1,0,0,0,A,-1,0.45454545454545453,0.375,-4,0
0,0,13,5,3,1,3,3,20,9,4,2,0,0,D,0,0.21428571428571427,0.16666666666666666,0,11
1,2,13,11,2,5,8,4,13,13,3,4,0,0,A,-1,0.14285714285714285,0.4166666666666667,4,0
1,2,16,10,3,5,6,5,9,21,0,2,0,0,A,-1,0.17647058823529413,0.45454545454545453,1,-12
2,1,6,16,2,6,3,7,20,7,1,1,0,0,H,1,0.2857142857142857,0.35294117647058826,-4,13
1,1,8,13,3,6,8,4,6,9,0,0,0,0,D,0,0.3333333333333333,0.42857142857142855,4,-3
2,0,16,6,6,1,9,3,7,6,0,0,0,0,H,2,0.35294117647058826,0.14285714285714285,6,1
1,3,19,15,6,6,5,4,9,10,0,0,0,0,A,-2,0.3,0.375,1,-1
3,1,23,8,11,3,8,4,12,9,0,2,0,0,H,2,0.4583333333333333,0.3333333333333333,4,3
1,5,9,18,4,6,4,6,10,16,2,2,1,0,A,-4,0.4,0.3157894736842105,-2,-6
1,2,4,13,1,4,6,5,13,6,1,3,0,0,A,-1,0.2,0.2857142857142857,1,7
2,0,6,11,3,2,3,9,16,12,1,2,0,0,H,2,0.42857142857142855,0.16666666666666666,-6,4
4,0,11,9,6,3,4,6,8,14,1,1,0,0,H,4,0.5,0.3,-2,-6
1,2,12,10,4,3,4,3,12,12,3,3,0,0,A,-1,0.3076923076923077,0.2727272727272727,1,0
1,2,13,19,7,8,5,6,12,10,1,2,0,0,A,-1,0.5,0.4,-1,2
0,1,16,13,7,2,5,8,23,15,2,5,0,0,A,-1,0.4117647058823529,0.14285714285714285,-3,8
2,1,12,13,7,3,4,3,9,12,2,3,0,0,H,1,0.5384615384615384,0.21428571428571427,1,-3
0,0,11,9,2,2,4,3,13,6,1,1,0,0,D,0,0.16666666666666666,0.2,1,7
1,0,9,10,4,3,6,6,10,11,2,3,0,0,H,1,0.4,0.2727272727272727,0,-1
3,0,16,3,6,0,8,4,8,14,0,1,0,0,H,3,0.35294117647058826,0.0,4,-6
1,1,16,14,5,6,4,7,15,11,1,1,0,0,D,0,0.29411764705882354,0.4,-3,4
1,1,10,12,5,6,6,8,9,5,3,1,0,0,D,0,0.45454545454545453,0.46153846153846156,-2,4
0,1,18,10,6,2,13,4,5,11,2,1,1,0,A,-1,0.3157894736842105,0.18181818181818182,9,-6
3,0,15,12,6,4,9,5,9,11,2,1,0,0,H,3,0.375,0.3076923076923077,4,-2
2,1,12,13,4,3,5,6,12,12,2,2,0,0,H,1,0.3076923076923077,0.21428571428571427,-1,0
1,1,26,5,7,1,13,2,5,8,2,3,0,0,D,0,0.25925925925925924,0.16666666666666666,11,-3
1,1,9,13,4,3,2,7,13,13,1,3,1,0,D,0,0.4,0.21428571428571427,-5,0
5,2,25,10,10,4,7,4,10,13,3,1,0,0,H,3,0.38461538461538464,0.36363636363636365,3,-3
0,2,14,11,2,6,4,6,12,9,2,3,0,0,A,-2,0.13333333333333333,0.5,-2,3
0,0,9,9,4,4,1,8,15,11,1,0,0,0,D,0,0.4,0.4,-7,4
2,1,17,8,11,2,7,4,8,9,0,2,0,0,H,1,0.6111111111111112,0.2222222222222222,3,-1
1,1,9,8,2,2,5,3,8,12,0,1,0,1,D,0,0.2,0.2222222222222222,2,-4
0,0,27,6,7,4,11,1,17,19,1,1,0,0,D,0,0.25,0.5714285714285714,10,-2
2,3,12,14,6,8,6,3,17,8,3,2,0,0,A,-1,0.46153846153846156,0.5333333333333333,3,9
0,7,5,14,3,8,5,4,5,11,1,0,0,0,A,-7,0.5,0.5333333333333333,1,-6
0,1,9,11,3,5,6,6,9,11,2,2,0,0,A,-1,0.3,0.4166666666666667,0,-2
2,1,9,13,2,2,4,3,9,9,1,3,0,0,H,1,0.2,0.14285714285714285,1,0
1,1,12,11,5,4,2,9,7,17,1,2,0,1,D,0,0.38461538461538464,0.3333333333333333,-7,-10
1,1,21,5,5,3,14,2,9,11,1,5,0,1,D,0,0.22727272727272727,0.5,12,-2
0,2,8,17,3,4,5,3,15,14,2,2,0,0,A,-2,0.3333333333333333,0.2222222222222222,2,1
6,2,26,17,14,3,11,13,6,6,1,0,0,0,H,4,0.5185185185185185,0.16666666666666666,-2,0
0,3,1,19,1,10,1,7,14,8,1,2,1,0,A,-3,0.5,0.5,-6,6
2,1,10,15,4,3,1,7,11,15,2,1,0,0,H,1,0.36363636363636365,0.1875,-6,-4
3,0,11,6,7,0,5,4,11,6,0,0,0,0,H,3,0.5833333333333334,0.0,1,5
2,2,10,9,2,4,5,0,10,17,2,1,0,0,D,0,0.18181818181818182,0.4,5,-7
3,0,21,13,10,6,4,4,18,16,1,4,1,0,H,3,0.45454545454545453,0.42857142857142855,0,2
0,0,10,3,1,2,6,3,15,12,2,0,0,0,D,0,0.09090909090909091,0.5,3,3
3,1,15,19,7,3,7,9,13,10,2,1,0,0,H,2,0.4375,0.15,-2,3
2,0,11,7,6,2,7,3,5,12,2,2,0,0,H,2,0.5,0.25,4,-7
0,1,10,7,2,3,6,3,11,10,2,4,0,0,A,-1,0.18181818181818182,0.375,3,1
1,0,11,14,4,6,4,12,8,14,0,3,0,0,H,1,0.3333333333333333,0.4,-8,-6
2,2,11,13,4,4,5,4,6,8,0,0,0,0,D,0,0.3333333333333333,0.2857142857142857,1,-2
1,1,17,5,2,3,8,3,8,5,0,1,0,0,D,0,0.1111111111111111,0.5,5,3
1,1,11,6,6,3,9,2,20,13,4,1,0,0,D,0,0.5,0.42857142857142855,7,7
1,1,4,17,1,3,2,5,10,7,0,1,0,0,D,0,0.2,0.16666666666666666,-3,3
1,1,16,10,5,2,11,4,16,3,3,1,0,0,D,0,0.29411764705882354,0.18181818181818182,7,13
0,1,13,11,2,3,5,4,11,4,2,0,0,0,A,-1,0.14285714285714285,0.25,1,7
1,0,5,7,3,3,3,5,13,17,1,2,0,0,H,1,0.5,0.375,-2,-4
0,0,8,8,3,3,4,3,16,15,3,1,0,0,D,0,0.3333333333333333,0.3333333333333333,1,1
0,5,4,14,1,6,3,10,7,10,0,1,0,0,A,-5,0.2,0.4,-7,-3
1,0,11,9,3,5,2,2,11,7,1,1,0,0,H,1,0.25,0.5,0,4
